date,ASML,GLDD
1999-12-31,20.4923,
2000-01-31,22.131,
2000-02-29,23.0674,
2000-03-31,20.1322,
2000-04-28,21.6088,
2000-05-31,18.9779,
2000-06-30,23.8399,
2000-07-31,21.4737,
2000-08-31,20.5986,
2000-09-29,17.4545,
2000-10-31,15.0235,
2000-11-30,11.0421,
2000-12-29,12.1873,
2001-01-31,15.3962,
2001-02-28,11.4472,
2001-03-30,11.7174,
2001-04-30,14.6237,
2001-05-31,12.5655,
2001-06-29,12.0199,
2001-07-31,11.0583,
2001-08-31,9.8212,
2001-09-28,6.0559,
2001-10-31,7.7683,
2001-11-30,9.4052,
2001-12-31,9.2107,
2002-01-31,10.2372,
2002-02-28,10.9935,
2002-03-28,13.7054,
2002-04-30,12.0631,
2002-05-31,10.0157,
2002-06-28,8.1681,
2002-07-31,6.4016,
2002-08-30,5.5318,
2002-09-30,3.344,
2002-10-31,4.6459,
2002-11-29,6.0288,
2002-12-31,4.5162,
2003-01-31,4.3272,
2003-02-28,3.9058,
2003-03-31,3.5492,
2003-04-30,4.7593,
2003-05-30,5.4292,
2003-06-30,5.1699,
2003-07-31,6.9904,
2003-08-29,8.5193,
2003-09-30,7.0877,
2003-10-31,9.4808,
2003-11-28,10.1669,
2003-12-31,10.8314,
2004-01-30,10.4046,
2004-02-27,9.8644,
2004-03-31,9.9022,
2004-04-30,8.4112,
2004-05-28,9.5133,
2004-06-30,9.2431,
2004-07-30,7.6657,
2004-08-31,6.9904,
2004-09-30,6.9526,
2004-10-29,7.6981,
2004-11-30,8.2437,
2004-12-31,8.6003,
2005-01-31,8.8758,
2005-02-28,9.8968,
2005-03-31,9.0595,
2005-04-29,7.8278,
2005-05-31,8.7083,
2005-06-30,8.4598,
2005-07-29,9.5079,
2005-08-31,9.1297,
2005-09-30,8.919,
2005-10-31,9.1729,
2005-11-30,10.3452,
2005-12-30,10.8476,
2006-01-31,12.2089,
2006-02-28,11.1717,
2006-03-31,11.0043,
2006-04-28,11.4202,
2006-05-31,10.9881,
2006-06-30,10.9232,
2006-07-31,10.7504,
2006-08-31,11.9172,
2006-09-29,12.5763,
2006-10-31,12.3386,
2006-11-30,13.4515,
2006-12-29,13.3056,
2007-01-31,13.7648,6.2107
2007-02-28,13.2786,6.4467
2007-03-30,13.3704,6.2561
2007-04-30,14.721,7.0369
2007-05-31,13.9214,8.2264
2007-06-29,14.829,8.6259
2007-07-31,15.9689,7.5727
2007-08-31,16.0283,8.0539
2007-09-28,17.7516,7.954
2007-10-31,19.64,8.1265
2007-11-30,19.5444,8.1061
2007-12-31,17.5984,7.9332
2008-01-31,14.955,5.7589
2008-02-29,13.5433,5.5874
2008-03-31,13.9538,4.7278
2008-04-30,16.4275,5.4685
2008-05-30,17.3543,5.5325
2008-06-30,14.1337,5.6212
2008-07-31,13.2011,5.98
2008-08-29,13.6992,6.8908
2008-09-30,10.2006,5.8184
2008-10-31,10.1658,4.131
2008-11-28,8.8799,2.4712
2008-12-31,10.467,3.8421
2009-01-30,9.5808,3.0922
2009-02-27,8.764,2.2404
2009-03-31,10.2756,2.8024
2009-04-30,12.4117,3.6869
2009-05-29,12.1476,4.8507
2009-06-30,12.7051,4.4634
2009-07-31,15.2637,5.4065
2009-08-31,16.1205,6.0881
2009-09-30,17.3528,6.5341
2009-10-30,15.8094,5.7384
2009-11-30,18.1861,5.5138
2009-12-31,20.0053,6.083
2010-01-29,18.3387,5.5479
2010-02-26,18.0923,4.2431
2010-03-31,20.9081,4.9469
2010-04-30,19.2898,5.1071
2010-05-28,16.691,5.4887
2010-06-30,16.2244,5.6704
2010-07-30,19.0122,5.2924
2010-08-31,14.6061,4.7679
2010-09-30,17.5592,5.5107
2010-10-29,19.5851,5.8806
2010-11-30,19.2721,7.2748
2010-12-31,22.6445,7.0057
2011-01-31,24.8121,7.8993
2011-02-28,25.7512,7.481
2011-03-31,26.2828,7.2686
2011-04-29,24.9589,7.0971
2011-05-31,23.3153,5.7825
2011-06-30,22.0901,5.3359
2011-07-29,21.3071,5.6897
2011-08-31,21.08,4.6761
2011-09-30,20.6437,3.9088
